Step Number,Energy per particle,Pressure
0, -0.07600327682081429, 0.007529638627057159
10000, -0.07515065305806214, 0.0076935265929018145
20000, -0.07552467673140056, 0.007730429611272626
30000, -0.07344787457011885, 0.00786967556049429
40000, -0.072728817722688, 0.008001610966184756
50000, -0.06934492410641302, 0.007832143498877656
60000, -0.07577754772814584, 0.007589779110631764
70000, -0.07764399182697755, 0.007899710946867254
80000, -0.07226682753664168, 0.007715275012524721
90000, -0.06614393765877186, 0.008116321496341642
