Step Number,Energy per particle,Pressure
0, 177516896907.98978, 639060927748.2987
100, 177515070032.6625, 639054350816.5474
200, 12305896793.557758, 44301261901.737885
300, 12213811259.301682, 43969751651.40173
400, 4456114040.304263, 16042027869.631502
500, 4438606770.4426, 15979001053.527287
600, 4436505950.772712, 15971437665.525415
700, 366187568.0185083, 1318281697.7635207
800, 366159206.0237391, 1318179540.7357087
900, 355414976.9337499, 1279499962.644233
